,Constitutency,Margin,Runner,Runner_Party,Serial_no,Winner,Winner_Party,prev_winner,prev_winner_margin,prev_winner_party
22,Chanasma,8234,DESAI_RAGHUBHAI_MERAJBHAI,Indian_National_Congress,17,DILIPKUMAR_VIRAJI_THAKOR,Bharatiya_Janata_Party,DILIPKUMAR_VIRAJIBHAI_THAKOR,16824,Bharatiya_Janata_Party
23,Chhota_Udaipur,1093,JASHUBHAI_BHILUBHAI_RATHWA,Bharatiya_Janata_Party,137,MOHANSINH_CHHOTUBHAI_RATHAVA,Indian_National_Congress,RATHWA_MOHANSINH_CHHOTUBHAI,2305,Indian_National_Congress
24,Choryasi,110819,PATEL_YOGESH_BHAGWAN,Indian_National_Congress,168,PATEL_ZANKHANA_HITESHKUMAR,Bharatiya_Janata_Party,PATEL_RAJENDRABHAI_PARABHUBHAI_(RAJABHAI),67638,Bharatiya_Janata_Party
25,Chotila,23887,DERVALIYA_ZINABHAI_NAJABHAI,Bharatiya_Janata_Party,63,MAKWANA_RUTVIKBHAI_LAVJIBHAI,Indian_National_Congress,SHAMJIBHAI_BHIMJIBHAI_CHAUHAN,11972,Bharatiya_Janata_Party
26,Dabhoi,2839,PATEL_SIDDHARTH_CHIMANBHAI,Indian_National_Congress,140,MEHTA_SHAILESHBHAI_KANAIYALAL_(SHAILESH_SOTTA),Bharatiya_Janata_Party,PATEL_BALKRISHNABHAI_NARANBHAI,5122,Bharatiya_Janata_Party
27,Dahegam,10860,RATHOD_KAMINIBA_BHUPENDRASINH,Indian_National_Congress,34,CHAUHAN_BALRAJSINH_KALYANSINH,Bharatiya_Janata_Party,RATHOD_KAMINIBA_BHUPENDRASINH,2297,Indian_National_Congress
28,Dahod,15503,KISHORI_KANAIYALAL_BACHUBHAI,Bharatiya_Janata_Party,132,PANADA_VAJESINGBHAI_PARSINGBHAI,Indian_National_Congress,PANADA_VAJESINGBHAI_PARSINGBHAI,39548,Indian_National_Congress
29,Dangs,768,PATEL_VIJAYBHAI_RAMESHBHAI,Bharatiya_Janata_Party,173,GAVIT_MANGALBHAI_GANGAJIBHAI,Indian_National_Congress,GAVIT_MANGALBHAI_GANGAJIBHAI,2422,Indian_National_Congress
30,Danilimda,32510,VAGHELA_JITENDRA_UMAKANT_(JITUBHAI_VAGHELA),Bharatiya_Janata_Party,54,PARMAR_SHAILESH_MANHARBHAI,Indian_National_Congress,SHAILESH_MANUBHAI_PARMAR,14301,Indian_National_Congress
31,Danta,24652,KODARVI_MALJIBHAI_NARAYANBHAI,Bharatiya_Janata_Party,10,KANTIBHAI_KALABHAI_KHARADI,Indian_National_Congress,KHARADI_KANTIBHAI_KALABHAI,26990,Indian_National_Congress
32,Dariapur,6187,BHARAT_BAROT,Bharatiya_Janata_Party,51,SHAIKH_GYASUDDIN_HABIBUDDEEN,Indian_National_Congress,GYASUDDIN_HABIBUDDIN_SHEKH,2621,Indian_National_Congress
33,Dasada,3728,RAMANLAL_ISHVARLAL_VORA,Bharatiya_Janata_Party,60,SOLANKI_NAUSHADJI_BHALAJIBHAI,Indian_National_Congress,MAKWANA_PUNAMBHAI_KALABHAI,10640,Bharatiya_Janata_Party
34,Daskroi,45065,PATEL_PANKAJBHAI_CHIMANBHAI,Indian_National_Congress,57,BABUBHAI_JAMNADAS_PATEL,Bharatiya_Janata_Party,PATEL_BABUBHAI_JAMNADAS,37633,Bharatiya_Janata_Party
35,Dediapada,21751,VASAVA__MOTILAL__PUNIYABHAI,Bharatiya_Janata_Party,149,VASAVA_MAHESHBHAI_CHHOTUBHAI,Bhartiya_Tribal_Party,MOTILAL_PUNIABHAI_VASAVA,2555,Bharatiya_Janata_Party
36,Deesa,14531,GOVABHAI_HAMIRABHAI_RABARI,Indian_National_Congress,13,PANDYA_SHASHIKANT_MAHOBATRAM,Bharatiya_Janata_Party,VAGHELA_LILADHARBHAI_KHODAJI,17706,Bharatiya_Janata_Party
37,Deodar,972,CHAUHAN_KESHAJI_SHIVAJI,Bharatiya_Janata_Party,14,BHURIYA_SHIVABHAI_AMRABHAI,Indian_National_Congress,CHAUHAN_KESHAJI_SHIVAJI,20809,Bharatiya_Janata_Party
38,Devgadhbaria,45694,VAKHALA_BHARATSINH_PRATAPBHAI,Indian_National_Congress,134,KHABAD_BACHUBHAI_MAGANBHAI,Bharatiya_Janata_Party,KHABAD_BACHUBHAI_MAGANBHAI,83753,Bharatiya_Janata_Party
39,Dhandhuka,5920,DABHI_KALUBHAI_RUPABHAI,Bharatiya_Janata_Party,59,GOHIL_RAJESHKUMAR_HARJIBHAI,Indian_National_Congress,KOLIPATEL_LALJIBHAI_CHATURBHAI,28277,Bharatiya_Janata_Party
40,Dhanera,2093,DESAI_MAVJIBHAI_MAGANBHAI,Bharatiya_Janata_Party,9,PATEL_NATHABHAI_HEGOLABHAI,Indian_National_Congress,PATEL_JOITABHAI_KASNABHAI,30291,Indian_National_Congress
41,Dharampur,22246,ISHVARBHAI_DHEDABHAI_PATEL,Indian_National_Congress,178,ARVIND_CHHOTUBHAI_PATEL,Bharatiya_Janata_Party,PATEL_ISHWARBHAI_DHEDABHAI,15298,Indian_National_Congress
42,Dhari,15336,DILIP___SANGHANI,Bharatiya_Janata_Party,94,J_V__KAKADIYA,Indian_National_Congress,KOTADIYA_NALINBHAI_NANJIBHAI,1575,Gujarat_Parivartan_Party
43,Dholka,327,RATHOD_ASHVINBHAI_KAMSUBHAI,Indian_National_Congress,58,BHUPENDRASINH_MANUBHA_CHUDASAMA,Bharatiya_Janata_Party,CHUDASAMA_BHUPENDRASINH_MANUBHA,18845,Bharatiya_Janata_Party
44,Dhoraji,25085,PATEL_HARIBHAI,Bharatiya_Janata_Party,75,LALIT_VASOYA,Indian_National_Congress,RADADIYA_VITTHALBHAI_HANSRAJBHAI,2943,Indian_National_Congress
45,Dhrangadhra,13916,SONAGRA_JERAMBHAI_DHANJIBHAI,Bharatiya_Janata_Party,64,PARSOTAM_UKABHAI_SABARIYA,Indian_National_Congress,KAVADIYA_JAYANTIBHAI_RAMJIBHAI,17403,Bharatiya_Janata_Party
46,Dwarka,5739,AHIR_MERAMAN_MARKHI,Indian_National_Congress,82,PABUBHA_VIRAMBHA_MANEK,Bharatiya_Janata_Party,PABUBHA_VIRAMBHA_MANEK,5616,Bharatiya_Janata_Party
