,Candidate,Constitutency,Party,Votes
1412,HIRVANI_AKASHBHAI_CHHOTABHAI,Savli,Bahujan_Samaj_Party,827
1413,SHRIVASTAV_MADHUBHAI_BABUBHAI,Vaghodia,Bharatiya_Janata_Party,63049
1414,VAGHELA_DHARMENDRASINGH_RANUBHA_(BAPU),Vaghodia,Independent,52734
1415,MAKWANA_SATISHBHAI_CHANDUBHAI_(RAJU_ALVA),Vaghodia,Independent,32942
1416,DR.PRAFULBHAI_DEVJIBHAI_VASAVA,Vaghodia,Bhartiya_Tribal_Party,9811
1417,JADAV_AMITBHAI_RAMJIBHAI,Vaghodia,Bahujan_Samaj_Party,3200
1418,CHAUHAN_CHANDRASINH_JASVANSINH,Vaghodia,All_India_Hindustan_Congress_Party,2603
1419,CHAVDA_JAYENDRASINH_JASHBHAI_(PUNO),Vaghodia,Independent,2514
1420,PARMAR_GOVINDBHAI_ISHWARBHAI_(RAHUL_KUMAR),Vaghodia,Independent,1233
1421,MOHANSINH_CHHOTUBHAI_RATHAVA,Chhota_Udaipur,Indian_National_Congress,75141
1422,JASHUBHAI_BHILUBHAI_RATHWA,Chhota_Udaipur,Bharatiya_Janata_Party,74048
1423,ARJUNBHAI_VERSINGBHAI_RATHVA,Chhota_Udaipur,Aam_Aadmi_Party,4551
1424,RATHVA_RAMESHBHAI_GOPABHAI,Chhota_Udaipur,Independent,3592
1425,RATHVA_SUKHRAMBHAI_HARIYABHAI,Jetpur,Indian_National_Congress,77701
1426,RATHVA_JAYANTIBHAI_SAVAJIBHAI,Jetpur,Bharatiya_Janata_Party,74649
1427,RATHVA_SURAJBEN_BHAGVATSINH,Jetpur,Independent,3314
1428,RATHVA_GANGABEN_VITTHALBHAI,Jetpur,Gujarat_Jan_Chetna_Party,2947
1429,KOLI_AMITKUMAR_ARVINDBHAI,Jetpur,Independent,1634
1430,RATHVA_SUMITRABEN_BHARATKUMAR,Jetpur,All_India_Hindustan_Congress_Party,1561
1431,RATHVA_PUNIYABHAI_KESHALABHAI,Jetpur,Independent,1500
1432,ABHESINH_MOTIBHAI_TADVI,Sankheda,Bharatiya_Janata_Party,90200
1433,BHIL_DHIRUBHAI_CHUNILAL,Sankheda,Indian_National_Congress,77351
1434,KIRITBHAI_RANACHHODBHAI_TADAVI,Sankheda,Bahujan_Samaj_Party,2544
1435,MIHIR_TADVI,Sankheda,Nationalist_Congress_Party,2117
1436,RATHVA_FURKANBHAI_BALJIBHAI,Sankheda,Independent,1877
1437,RATHVA_SURESHBHAI_BHAYAJIBHAI,Sankheda,Independent,1658
1438,TADVI_JETHABHAI_NANABHAI,Sankheda,Independent,870
1439,MUKESHBHAI_BHIMSINHBHAI_TADVI,Sankheda,All_India_Hindustan_Congress_Party,610
1440,SHANTILALBHAI_RANCHHODBHAI_RATHVA,Sankheda,Bhartiya_Rashtrawadi_Party,516
1441,MEHTA_SHAILESHBHAI_KANAIYALAL_(SHAILESH_SOTTA),Dabhoi,Bharatiya_Janata_Party,77945
1442,PATEL_SIDDHARTH_CHIMANBHAI,Dabhoi,Indian_National_Congress,75106
1443,MADHUSUDAN_MOHANBHAI_ROHIT,Dabhoi,Bahujan_Samaj_Party,1095
1444,KISHORBHAI_NAGJIBHAI_PATANVADIYA,Dabhoi,Gujarat_Jan_Chetna_Party,959
1445,NAVINBHAI_HIMANTBHAI_RAI,Dabhoi,Independent,794
1446,RAKESH_HARILAL_VASAVA,Dabhoi,Independent,689
1447,CHANDUBHAI_HARGOVINDBHAI_BHATIYA,Dabhoi,Independent,338
1448,GOHIL_ARUNABEN_SOMABHAI,Dabhoi,Independent,313
1449,ANILBHAI_KANUBHAI_VANKAR,Dabhoi,Independent,303
1450,PATEL_ASHWINBHAI_ANTOLBHAI,Dabhoi,All_India_Hindustan_Congress_Party,269
1451,MANISHA_VAKIL,Vadodara_City,Bharatiya_Janata_Party,116367
1452,ANIL_PARMAR,Vadodara_City,Indian_National_Congress,63984
1453,CHANDRIKA_SOLANKI,Vadodara_City,Independent,975
1454,PARMAR_DEVYANIBEN_LAXMANBHAI,Vadodara_City,Bahujan_Samaj_Party,831
1455,DR.THAKOR_PARMAR,Vadodara_City,Aam_Aadmi_Party,807
1456,PARMAR_BHARATBHAI_RAVAJIBHAI,Vadodara_City,Gujarat_Jan_Chetna_Party,559
1457,PARMAR_RASHMIBEN_KANAIYALAL_(ADVOCATE),Vadodara_City,Independent,493
1458,JITENDRA_RATILAL_SUKHADIA_(JITUBHAI),Sayajigunj,Bharatiya_Janata_Party,99957
1459,NARENDRA_RAVAT,Sayajigunj,Indian_National_Congress,40825
1460,RAJESH_AYARE,Sayajigunj,Rashtriya_Samaj_Paksha,40665
1461,JAT_SUBHASSING_BRIJLAL,Sayajigunj,All_India_Hindustan_Congress_Party,459
1462,SHAIKH_TAMANNA_IQUBAL,Sayajigunj,Independent,433
1463,PATIL_VALMIK,Sayajigunj,Shivsena,378
1464,SEEMABEN_AKSHAYKUMAR_MOHILE,Akota,Bharatiya_Janata_Party,109244
1465,RANJIT_SHARADCHANDRA_CHAVAN,Akota,Indian_National_Congress,52105
1466,NIKHIL_YATIN_PATEL,Akota,Nationalist_Congress_Party,1027
1467,AMIT_RAMKRIPAL_TIWARI,Akota,Independent,655
1468,RUSHIKANT_SHASTRI,Akota,All_India_Hindustan_Congress_Party,648
1469,PATHAN_MOHAMMAD_SOYEBKHAN_(GUDDU),Akota,Bahujan_Samaj_Party,465
1470,MAHEBUBKHAN_YUSUFKHAN_SINDHI_(VAKIL),Akota,Independent,399
1471,"RAJENDRA_TRIVEDI_""RAJUBHAI_VAKIL""",Raopura,Bharatiya_Janata_Party,106985
1472,"CHANDRAKANT_R._SHRIVASTAV_""BHATTHUBHAI""",Raopura,Indian_National_Congress,70335
1473,"SARASWATIBEN_KHETSINH_RAJPUT_""SATTUMEM""",Raopura,Gujarat_Jan_Chetna_Party,850
1474,ROHIT_MAHESHKUMAR_GOVINDBHAI,Raopura,Bahujan_Samaj_Party,644
1475,HARSHA_TOKE,Raopura,Independent,374
1476,"KALIDAS_M._PATEL_""NEPOLEON""",Raopura,Independent,326
1477,SONAVANE_PARMESHWAR_SHRAVANBHAI,Raopura,Independent,310
1478,YOGESH_PATEL,Manjalpur,Bharatiya_Janata_Party,105036
1479,CHIRAG_HANSKUMAR_ZAVERI_(CHIRAG_ZAVERI_),Manjalpur,Indian_National_Congress,48674
1480,LAXMANBHAI_PUNJABHAI_PAREKH,Manjalpur,Independent,835
1481,DAHYABHAI_JADAVBHAI_ROHIT,Manjalpur,Bahujan_Samaj_Party,819
1482,INDERJEET_SINGH_GROVER,Manjalpur,SOCIALIST_UNITY_CENTRE_OF_INDIA_(COMMUNIST),603
1483,MAYUR_CHANDRAKANT_PANCHAL,Manjalpur,Shivsena,504
1484,RAJPUT_MUKESHSINH_NATVARSINH,Manjalpur,Independent,412
1485,SUNITA_PARDESHI_(YOGATEACHER),Manjalpur,Independent,337
1486,RITU_BANSAL,Manjalpur,Aam_Aadmi_Party,282
1487,PRAKASHBHAI_SOMABHAI_PATEL,Manjalpur,Manvadhikar_National_Party,251
1488,MAHESH_ADVANI_(BANTI),Manjalpur,All_India_Hindustan_Congress_Party,185
1489,BIKRAMA_PARAMHANS_CHOUDHARY,Manjalpur,Independent,183
1490,THAKOR_JASHPALSINH_MAHENDRASINH_(PADHIYAR),Padra,Indian_National_Congress,92998
1491,PATEL_DINESHBHAI_BALUBHAI_(DINUMAMA),Padra,Bharatiya_Janata_Party,73971
1492,SOLANKI_KAILASBEN_SURESHBHAI,Padra,Independent,1018
1493,PARMAR_NAVNEETBHAI_MANUBHAI,Padra,Bahujan_Samaj_Party,797
1494,GOHIL_VINUBHAI,Padra,Gujarat_Jan_Chetna_Party,504
1495,PARMAR_HARMANBHAI_FULABHAI,Padra,Independent,428
1496,AMJADBHAI_BABUBHAI_GARASIYA,Padra,Independent,287
1497,JASHUBHAI_CHHITABHAI_PARMAR,Padra,All_India_Hindustan_Congress_Party,242
1498,PANKAJBHAI_BALVANTRAY_THAKAR,Padra,Nationalist_Congress_Party,223
1499,AKSHAY_KUMAR_ISWARBHAI__PATEL,Karjan,Indian_National_Congress,74087
1500,SATISHBHAI_MOTIBHAI_PATEL,Karjan,Bharatiya_Janata_Party,70523
1501,MUKESHBHAI_MANIBHAI__VASAVA,Karjan,Janata_Dal__(United),1233
1502,RAJESHBHAI_CHIMANBHAI__VASAVA,Karjan,Bahujan_Samaj_Party,1103
1503,YUSUF_ALIBHAI__HASANALI,Karjan,Independent,1015
1504,RAMANBHAI_CHIMANBHAI_VASAVA,Karjan,Independent,786
1505,HANIFBHAI__ISMAILBHAI_JAMADAR,Karjan,Aam_Aadmi_Party,464
1506,KALPESHKUMAR_SHANKARBHAI_VAIDH,Karjan,Independent,398
1507,ISMAIL_ADAMBHAI__BANGA,Karjan,Independent,367
1508,ARIFBHAI_YAKUBBHAI_KOLA,Karjan,Independent,352
1509,VASAVA_PREMSINHBHAI_DEVJIBHAI,Nandod,Indian_National_Congress,81849
1510,TADVI_SHABDASHARAN_BHAILALBHAI,Nandod,Bharatiya_Janata_Party,75520
1511,TADVI_JESANGBHAI_RANCHHODBHAI,Nandod,Janata_Dal__(United),2329
1512,VASAVA_MAHESHBHAI_SARADBHAI,Nandod,Independent,2067
1513,TADVI_BHANUBHAI_HIMMATBHAI,Nandod,Nationalist_Congress_Party,1964
1514,BUDHABHAI_CHANDUBHAI_TADVI,Nandod,Independent,1379
1515,TADVI_VIJAYKUMAR_NARANBHAI,Nandod,Independent,925
1516,VASAVA_MAHESHBHAI_CHHOTUBHAI,Dediapada,Bhartiya_Tribal_Party,83026
1517,VASAVA__MOTILAL__PUNIYABHAI,Dediapada,Bharatiya_Janata_Party,61275
1518,DESHMUKH_RAJENDRASINH__GUMANSINH,Dediapada,Indian_New_Congress_Party,6721
1519,VASAVA_RAKESHKUMAR_RAYJIBHAI,Dediapada,Independent,2824
1520,VASAVA_AMARSINH__RAMSINH,Dediapada,Independent,2425
1521,VASAVA_KALPANABEN_KAILASHBHAI,Dediapada,All_India_Hindustan_Congress_Party,2371
1522,VASAVA_TUSHAR_JAMSUBHAI,Dediapada,Janata_Dal__(United),1291
1523,MULJIBHAI_KHALPABHAI_VASAVA,Dediapada,Independent,1038
1524,MANSINGBHAI_KALIYABHAI_VASAVA,Dediapada,Sardar_Vallabhbhai_Patel_Party,1005
1525,SANJAYBHAI_JESANGBHAI_SOLANKI,Jambusar,Indian_National_Congress,73216
1526,CHHATRASINHJI_POOJABHAI_MORI,Jambusar,Bharatiya_Janata_Party,66804
1527,KHUMANSINH_KESHRISINH_VANSIA,Jambusar,Independent,8782
1528,JAMBU_HIMANSHU_ISHWARBHAI,Jambusar,Bahujan_Samaj_Party,1206
1529,PARMAR_NARENDRASINH_JESANGBHAI,Jambusar,All_India_Hindustan_Congress_Party,1182
1530,MUBARAK_ABDULLAH_PATEL,Jambusar,Independent,761
1531,MAHESHBHAI_MAGANBHAI_SOLANKI,Jambusar,Nationalist_Congress_Party,607
1532,ARYA_INDRAVADAN_BHIMSINH,Jambusar,Independent,502
1533,BHUPENDRABHAI_VITTHALBHAI_PATEL,Jambusar,Independent,446
1534,PARMAR_PRAVINBHAI_CHATURBHAI,Jambusar,Bahujan_Mukti_Party,393
1535,ARUNSINH_AJITSINH_RANA,Vagra,Bharatiya_Janata_Party,72331
1536,PATEL_SULEMANBHAI_MUSABHAI,Vagra,Indian_National_Congress,69703
1537,GOHIL_FATESANGBHAI_RAYSANGBHAI,Vagra,Independent,5601
1538,GHASWALA_ASARAF_JAVID_MUSABHAI,Vagra,Independent,986
1539,PATHAN_ALTAFKHAN_DAUDKHAN,Vagra,All_India_Hindustan_Congress_Party,555
1540,UDHARADAR_JAVIDBHAI_YAKUBBHAI,Vagra,Independent,176
1541,GULAM_VALI_SABUWALA,Vagra,Independent,174
1542,RAJESHBHAI_DHARAMDAS_ARYA,Vagra,Janata_Dal__(United),153
1543,KIDIWALA_DILAWAR_ABDULLAH,Vagra,Independent,127
1544,SOLANKI_MAHENDRA_BABUBHAI,Vagra,Bahujan_Mukti_Party,114
1545,VASAVA_CHHOTUBHAI_AMARSINH,Jhagadia,Bhartiya_Tribal_Party,113854
1546,RAVJIBHAI_ISHVARBHAI_VASAVA,Jhagadia,Bharatiya_Janata_Party,64906
1547,CHHOTUBHAI_A.VASAVA,Jhagadia,Janata_Dal__(United),5055
1548,PATEL_DUSHYANTBHAI_RAJNEEKANT,Bharuch,Bharatiya_Janata_Party,99699
1549,PATEL_JAYESHBHAI_AMBALAL,Bharuch,Indian_National_Congress,66600
1550,PATEL_IMRAN_UMARJEEBHAI,Bharuch,Nationalist_Congress_Party,1062
1551,HITESHKUMAR_HIRALAL_PARMAR,Bharuch,Bahujan_Samaj_Party,682
1552,SAVARIYA_NARMADAPUTRA_MAHARAJ_GURUSHREE_NARMADAJI,Bharuch,Independent,668
1553,PATHAN_IMRANKHAN_HUSAINKHAN,Bharuch,Independent,603
1554,GOHIL_VIRALKUMAR_NARESHBHAI,Bharuch,Shivsena,419
1555,DIPEEKABEN_SHAILESHBHAI_PATEL,Bharuch,All_India_Hindustan_Congress_Party,211
1556,PARMAR_SURESHBHAI_HIRABHAI,Bharuch,Lokshahi_Satta_Party,201
1557,GOHIL_HEMANTKUMAR_JERAMBHAI,Bharuch,Bahujan_Mukti_Party,192
1558,ISHWARSINH_THAKORBHAI_PATEL,Ankleshwar,Bharatiya_Janata_Party,99050
1559,ANILKUMAR_CHHITUBHAI_BHAGAT,Ankleshwar,Indian_National_Congress,52138
1560,SHAIKH_ALTAFHUSSAIN__KALUAHEMAD,Ankleshwar,Independent,1216
1561,CHETANBHAI__KANJIBHAI__VASAVA,Ankleshwar,Bahujan_Samaj_Party,616
1562,MALEK_SABIRHUSSAIN__HABIBBHAI,Ankleshwar,Independent,398
1563,JAYENDRASINH_MAHENDRASINHJI_BHARTHANIYA,Ankleshwar,Independent,271
1564,KSHETRAPAL_DURGAPRASAD_SHARMA,Ankleshwar,Aam_Aadmi_Party,243
1565,AJAYBHAI_GOMANBHAI_VASAVA,Ankleshwar,Independent,217
1566,PATEL_BIPINKUMAR_GOVINDBHAI,Ankleshwar,Bahujan_Mukti_Party,198
1567,SANJAYKUMAR_SOMABHAI_PRAJAPATI,Ankleshwar,All_India_Hindustan_Congress_Party,150
1568,PRAJAPATI_VIJESHKUMAR_MANILAL,Ankleshwar,Aapni_Sarkar_Party,112
1569,RAJESHBHAI_MAGANBHAI_BUTANI,Ankleshwar,Rashtriya_Jankranti_Party,91
1570,PATEL_MUKESHBHAI_ZINABHAI,Olpad,Bharatiya_Janata_Party,147828
1571,BAKROLA_YOGENDRASINH_CHANDRASINH,Olpad,Indian_National_Congress,86016
1572,PATHAN_SIRAJKHAN_HOSIYARKHAN,Olpad,Bahujan_Samaj_Party,1688
1573,PATEL_HITESHBHAI_MOHANBHAI,Olpad,Independent,1139
1574,SANGHANI_KISHORBHAI_DEVRAJBHAI,Olpad,Nationalist_Congress_Party,1053
1575,LALJIBHAI_JIVRAJBHAI_KAKADIYA,Olpad,Independent,819
1576,SAVALIYA_MANSUKHBHAI_DHIRUBHAI,Olpad,Aam_Aadmi_Party,473
1577,TUNDIYA_JIGNESHKUMAR_DHARAMASHIBHAI,Olpad,Gujarat_Jan_Chetna_Party,366
1578,MADHUBHAI_ARJANBHAI_ANAGHAN,Olpad,Sardar_Vallabhbhai_Patel_Party,336
1579,PATEL_VIJAYKUMAR_RAMBHAI,Olpad,Shivsena,289
1580,GEDIYA_DHARMISHTHABEN_KARSHANBHAI,Olpad,All_India_Hindustan_Congress_Party,211
1581,PATEL_ANKIT_ARJUNBHAI,Olpad,Vyavastha_Parivartan_Party,208
1582,BALAR_HASMUKHBHAI_BABUBHAI,Olpad,Navin_Bharat_Nirman_Manch,198
1583,VASAVA_GANPATSINH_VESTABHAI,Mangrol,Bharatiya_Janata_Party,91114
1584,VASAVA_NANSINGBHAI_NANDARIABHAI,Mangrol,Indian_National_Congress,50315
1585,VASAVA_UTAMBHAI_SOMABHAI,Mangrol,Bhartiya_Tribal_Party,7183
1586,JAGATSINH_LALJIBHAI_VASAVA,Mangrol,Nationalist_Congress_Party,2569
1587,HALPATI_KUVARJIBHAI_NARSINHBHAI,Mangrol,Independent,1268
1588,VASAVA_UTTAMBHAI_TULSIBHAI,Mangrol,Janata_Dal__(United),984
1589,BHAGAT_URMILABEN_MUKESHBHAI,Mangrol,Independent,846
1590,CHAUDHARI_ANANDBHAI_MOHANBHAI,Mandvi,Indian_National_Congress,96483
1591,PRAVINBHAI_MERJIBHAI_CHAUDHARI,Mandvi,Bharatiya_Janata_Party,45707
1592,HALPATI_KUNVARJIBHAI_NARSINHBHAI,Mandvi,Independent,29552
1593,DINESHBHAI_GULABBHAI_CHAUDHARI,Mandvi,Bahujan_Samaj_Party,2182
1594,GAMIT_YAKUBBHAI_DEVLABHAI,Mandvi,Janata_Dal__(United),1603
1595,ARVINDBHAI_HATIYABHAI_GAMIT,Mandvi,Independent,1240
1596,V.D.ZALAVADIYA,Kamrej,Bharatiya_Janata_Party,147371
1597,ASHOK_(JIRAVALA),Kamrej,Indian_National_Congress,119180
1598,RAM_DHADUK,Kamrej,Aam_Aadmi_Party,1454
1599,KODAWALA_IMRAN_NIZAMUDIN,Kamrej,Bahujan_Samaj_Party,1187
1600,VIRADIYA_HASMUKHBHAI_SHAMJIBHAI,Kamrej,Independent,1185
1601,VEKARIYA_PIYUSHBHAI_BHAGAVANBHAI,Kamrej,Independent,1111
1602,KATHROTIYA_NIRMISHKUMAR_VITHALBHAI,Kamrej,Real_Democracy_Party,815
1603,NARENDRA_SORATHIYA_(VAKIL),Kamrej,Shivsena,431
1604,MANDANI_JIGNESHBHAI_VINUBHAI,Kamrej,Independent,390
1605,PARESHBHAI_DEVSHIBHAI_KACHHADIYA,Kamrej,Independent,354
1606,GADHETHARIYA_BHIKHUBHAI_CHHAGANBHAI,Kamrej,Independent,292
1607,DR.BHAVINBHAI_VACHHANI,Kamrej,All_India_Hindustan_Congress_Party,264
1608,PANSURIYA_PRAFULKUMAR__NARANBHAI,Kamrej,Yuva_Sarkar,219
1609,PIPALYA_HARSHABEN_RAJESHKUMAR,Kamrej,Aapni_Sarkar_Party,146
1610,ARVIND_SHANTILAL_RANA,Surat_East,Bharatiya_Janata_Party,72638
1611,BHARUCHA_NITINKUMAR_THAKORDAS,Surat_East,Indian_National_Congress,59291
1612,KAPDIYA_MOHAMMAD_SALMAN_MOHAMMAD_IRFAN,Surat_East,Bahujan_Samaj_Party,458
1613,MEMAN_BILKISHBANU_RAFIKBHAI,Surat_East,Independent,307
1614,SALIM_AKBARBHAI_MULTANI,Surat_East,Aam_Aadmi_Party,299
1615,NIRBAN_FARUQ_SHABBIR,Surat_East,Bharatiya_Bahujan_Congress,283
1616,LIMBUWALA_MO_ILYAS_ABDUL_LATIF,Surat_East,Independent,192
1617,DIWAN_SADIKBHAI_AMISHABHAI,Surat_East,Independent,117
1618,PATHAN_YUSUFKHAN_RASULKHAN,Surat_East,Independent,113
1619,KODAVALA_IMRAN_NIZAMUDDIN,Surat_East,Independent,111
1620,KHER_PARESKHKUMAR_ANANDRAV,Surat_East,Independent,111
1621,MANSURI_SABIHA_HARUN_GULAM_MOHMAD,Surat_East,Independent,110
1622,MAISURIYA_AMRUTLAL_UTTAMLAL_ALIAS_VIJAY_MAISURIYA,Surat_East,Rashtra_Mangal_Mission_Party,104
1623,MANSURI_MOHMAD_HARUN_GULAM_MOHMAD,Surat_East,Independent,88
1624,BALAR_KANTIBHAI_HIMMATBHAI,Surat_North,Bharatiya_Janata_Party,58788
1625,KACHHADIYA_DINESHBHAI_MANUBHAI,Surat_North,Indian_National_Congress,38766
1626,SOLANKI_RITESHBHAI_NARESHBHAI,Surat_North,All_India_Hindustan_Congress_Party,522
1627,ABDULSAMAD_ABDULMAJID_MUNSHI,Surat_North,Bahujan_Samaj_Party,439
1628,RIYAZ_NURMOHAMMAD_NAGORI,Surat_North,Independent,298
1629,MO.ZAMEER_ABDULREHMAN_NAGORI,Surat_North,Independent,202
1630,MAISURIYA_AMRUTLAL_UTTAMLAL_(VIJAY_MAISURIYA),Surat_North,Rashtra_Mangal_Mission_Party,188
1631,KAZI_NAZMUDDIN_RAFIYUDDIN,Surat_North,Independent,185
1632,TAILOR_GULMOHMAD_USHAMANGANI,Surat_North,Independent,122
1633,TOFIQ_MAHEMUD_NAGORI,Surat_North,Independent,112
1634,PATHAN_SIRAJKHAN_HOSHIYARKHAN,Surat_North,Independent,106
1635,KAPADIA_MOHMADIRFAN_GULAMMAHAMAD,Surat_North,Independent,94
1636,KISHOR_KANANI_(KUMAR),Varachha_Road,Bharatiya_Janata_Party,68472
1637,GAJERA_DHIRUBHAI_HARIBHAI,Varachha_Road,Indian_National_Congress,54474
1638,SATISH_PRAJAPATI_(S.P.),Varachha_Road,Independent,388
1639,VIJAY_MANGUKIYA_(MAHADEV),Varachha_Road,Nationalist_Congress_Party,264
1640,SAVALIYA_HANISHA_TUSHARKUMAR,Varachha_Road,Bahujan_Samaj_Party,195
1641,LALJIBHAI_HIRPARA_(JANAKBHAI_HIRPARA),Varachha_Road,Yuva_Sarkar,147
1642,NITIN_DHAMELIYA,Varachha_Road,All_India_Hindustan_Congress_Party,106
1643,DANKHARA_VIJAYBHAI_NARHARIBHAI,Varachha_Road,Navin_Bharat_Nirman_Manch,85
1644,GHOGHARI_PRAVINBHAI_MANJIBHAI,Karanj,Bharatiya_Janata_Party,58673
1645,BHUMBHALIYA_BHAVESHBHAI_GOVINDBHAI_(ADVOCATE),Karanj,Indian_National_Congress,23075
1646,BHIMJIBHAI_V.PATEL_(BUDHANA),Karanj,Independent,4464
1647,ZALAVADIYA__JAYSUKHBHAI__DEVCHANDBHAI,Karanj,Independent,910
1648,LADUMOR_HIMMATBHAI_BAGHABHAI,Karanj,All_India_Hindustan_Congress_Party,534
1649,GHANSHYAMBHAI_CHHAGANBHAI_SARVAIYA,Karanj,Yuva_Sarkar,328
1650,MUKESHBHAI_JAGABHAI_DOBARIYA,Karanj,Independent,326
1651,MEHTA_JIGNESH_DHIRAJLAL,Karanj,Aam_Aadmi_Party,325
1652,SHAIKH_MOHSIN_ANVAR,Karanj,Bharatiya_Bahujan_Congress,281
1653,BARAIYA_RAMESHBHAI_PARSOTTAMBHAI,Karanj,Independent,147
1654,JALONDHARA_JITUBEN_DHANJIBHAI,Karanj,Real_Democracy_Party,119
1655,BHADANI_HASMUKHBHAI_KANUBHAI,Karanj,Rashtra_Mangal_Mission_Party,111
1656,DODIYA_RAMDEVSINH_HEMANTSINH,Karanj,Independent,101
1657,PATIL_SANGITABEN_RAJENDRABHAI,Limbayat,Bharatiya_Janata_Party,93585
1658,DR._RAVINDRA__SUKLAL_PATIL,Limbayat,Indian_National_Congress,61634
1659,AKRAM_VAHIDULLA_ANSARI,Limbayat,Nationalist_Congress_Party,5132
1660,SAMRAT_ABHIMAN_PATIL,Limbayat,Shivsena,4075
1661,PATEL_DASHRATH_PRABHUDUTT,Limbayat,Independent,835
1662,"SATYENDRA_SINGH_""KRANTIKARI""",Limbayat,SOCIALIST_UNITY_CENTRE_OF_INDIA_(COMMUNIST),709
1663,MANUBHAI_MAYABHAI_AHIR,Limbayat,Bahujan_Samaj_Party,705
1664,JAIN_RAJENDRAKUMAR_ANILKUMAR,Limbayat,Independent,619
1665,BHARATBHAI_BABUBHAI_RAKHOLIYA_(PATEL),Limbayat,Communist_Party_of_India__(Marxist),591
1666,RASHA_RAJU_UPPALAYA,Limbayat,Aam_Aadmi_Party,384
1667,KOLI_DASHRATH_LOTANBHAI,Limbayat,Independent,347
1668,CHAUHAN_ANILBHAI_LALJIBHAI,Limbayat,Independent,287
1669,VARDE_RAJU_BHIMRAO,Limbayat,Bahujan_Mukti_Party,255
1670,GIRDHAR_BRIJLAL_CHAUDHARI,Limbayat,Independent,203
1671,HEMANT_SURESH_SONI,Limbayat,Rashtriya_Samaj_Paksha,182
1672,SHEKH_HAMID_RAMJAN,Limbayat,Svatantra_Bharat_Satyagrah_Party,147
1673,PATEL_VIVEK_NAROTTAMBHAI,Udhna,Bharatiya_Janata_Party,87884
1674,PATEL_SATISHBHAI_CHAMPAKBHAI,Udhna,Indian_National_Congress,45356
1675,VILAS_SUBHASH_PATIL,Udhna,Shivsena,2901
1676,SONVANE_SURYAVARDHAN_RAMESH,Udhna,Independent,1583
1677,BAISANE_SHILABEN_SUBHASHBHAI,Udhna,Bahujan_Mukti_Party,555
1678,SURYAVANSHI_HARISHBHAI_CHAMPAKLAL,Udhna,Nationalist_Congress_Party,482
1679,DINESHBHAI_RAMDASBHAI_BORSE,Udhna,Independent,394
1680,SIKALKAR_JAGADISHSING_NATHTHASING,Udhna,Bharatiya_Bahujan_Congress,339
1681,SURATI_KIRITBHAI_LALUBHAI,Udhna,Independent,297
1682,SHARMA_ARUN_SHRICHANDRA,Udhna,All_India_Hindustan_Congress_Party,270
1683,PATEL_HIRABHAI_MAGANBHAI,Udhna,Independent,206
1684,SINGH_MAHESH_SAMARBAHADUR,Udhna,Svatantra_Bharat_Satyagrah_Party,181
1685,THAKUR_CHANDANSINH_SHIVVADANSINH,Udhna,Independent,173
1686,HARSH_RAMESHKUMAR_SANGHAVI,Majura,Bharatiya_Janata_Party,116741
1687,KOTHARI_ASHOK_MOHANLAL,Majura,Indian_National_Congress,30914
1688,VYAS_JIGAR_ASHOKBHAI,Majura,Shivsena,539
1689,NIRMALA_GOVINDBHAI_TATE,Majura,Bahujan_Republican__Socialist_Party,474
1690,LATABEN_ASHOKKUMAR_DWIVEDI,Majura,Independent,447
1691,DESAI_ALPESH_ISHWARBHAI,Majura,Nationalist_Congress_Party,440
1692,PATEL_MANOJKUMAR_DAHYABHAI,Majura,Sardar_Vallabhbhai_Patel_Party,266
1693,VORA_LAXMANBHAI_DAHYABHAI,Majura,Independent,229
1694,SHARMA_RAJMAL_MOHANLAL_(RAJUBHAI),Majura,Svatantra_Bharat_Satyagrah_Party,190
1695,PALGHADMAL_SIMABEN_SHASHIKANT,Majura,Bharatiya_Bahujan_Congress,125
1696,VINODBHAI_AMARSHIBHAI_MORADIYA_(VINUBHAI_NINGALA),Katargam,Bharatiya_Janata_Party,125387
1697,JIGNESH_JIVANI_(MEVASA),Katargam,Indian_National_Congress,46157
1698,NAGAJIBHAI_B._AMBALIYA,Katargam,Aam_Aadmi_Party,4135
1699,DINESHBHAI_JIKADARA_(PRAJAPATI),Katargam,Independent,872
1700,NAYAN_NATHUBHAI_MAVANI,Katargam,Nationalist_Congress_Party,505
1701,BALAVANTBHAI_HIRAJIBHAI_VARIYA	,Katargam,Shivsena,395
1702,JAYKUMAR_JASHBHAI_PATEL_(GOPU),Katargam,Independent,275
1703,SHAH_FAKIR_AKABAR_LIYAKAT,Katargam,Independent,236
1704,SONDARAVA_BHARATBHAI_KANJIBHAI,Katargam,Sardar_Vallabhbhai_Patel_Party,188
1705,PANCHAL_UMESH,Katargam,Yuva_Party_(Democratic),156
1706,PATEL_VINODKUMAR_KARASHANBHAI,Katargam,Rashtra_Mangal_Mission_Party,140
1707,ALPESHBHAI_HARIBHAI_ITALIYA,Katargam,Independent,112
1708,SHEKH_RAUSHANAARA,Katargam,Bharatiya_Bahujan_Congress,106
1709,RAJESHKUMAR_DHARAMSHIBHAI_PIPALYA,Katargam,Aapni_Sarkar_Party,60
1710,PURNESH_MODI,Surat_West,Bharatiya_Janata_Party,111615
1711,PATEL_IQBAL_DAUD,Surat_West,Indian_National_Congress,33733
1712,ROCHANI_SONAL_CHETANBHAI,Surat_West,Independent,461
